"Part";"Value";"Device";"Package";"Description";"LABEL00";"LABEL01";"LABEL02";"LABEL03";"LABEL04";"LABEL05";"MPN";"PROD_ID";"SPICEPREFIX";"VALUE";
"C1";"0.1uF";"CAP0402";"0402-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";
"C2";"0.1uF";"CAP0402";"0402-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";
"C3";"22pF";"CAP0603";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";
"C4";"0.1uF";"CAP0402";"0402-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";
"C5";"0.1uF";"CAP0402";"0402-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";
"C6";"0.01uF";"CAP0603";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";
"C7";"0.1uF";"CAP0402";"0402-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";
"C8";"0.1uF";"CAP0402";"0402-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";
"C9";"1.0uF";"CAP0402";"0402-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";
"C10";"0.1uF";"CAP0402";"0402-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";
"C11";"1uF";"CAP0402";"0402-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";
"C12";"100uF";"CAP_POLD";"PANASONIC_D";"Capacitor Polarized";"";"";"";"";"";"";"";"";"";"";
"C13";"1.0uF";"CAP0603";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";
"C14";"0.1uF";"CAP0402";"0402-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";
"C15";"0.1uF";"CAP0402";"0402-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";
"C16";"0.1uF";"CAP0402";"0402-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";
"C17";"22pF";"CAP0603";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";
"C18";"0.1uF";"CAP0402";"0402-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";
"C19";"1.0uF";"CAP0402";"0402-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";
"C20";"0.1uF";"CAP0402";"0402-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";
"C21";"0.1uF";"CAP0402";"0402-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";
"C22";"0.1uF";"CAP0402";"0402-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";
"D2";"20V-1A";"SMD-DIODE-SCHOTTKY-20V-1A(SOD-123)";"SOD-123";"304020034";"";"";"";"";"";"";"B5819W";"";"";"20V-1A";
"D3";"GREEN";"LED-GREEN0603";"LED-0603";"Green SMD LED";"";"";"";"";"";"";"";"DIO-00821";"";"GREEN";
"D4";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"";"";"";"";"";"";"";"DIO-00819";"";"RED";
"D5";"Yellow";"LED-YELLOW0603";"LED-0603";"Yellow SMD LED";"";"";"";"";"";"";"";"DIO-09003";"";"Yellow";
"F2";"500mA";"PTCFUSE-1206";"R1206";"PTC fuses, resettable thermistors";"";"";"";"";"";"";"";"";"";"";
"J1";"USB";"USB_MICRO_RIGHT";"MICROUSB-RIGHT";"Library:  MF_Connectors";"";"";"";"";"";"";"";"";"";"";
"L1";"2500R-50MA";"SMD-FERRITE-BEAD-2500R-50MA(0603)";"L0603";"303030020";"";"";"";"";"";"";"";"";"";"2500R-50MA";
"L3";"2500R-50MA";"SMD-FERRITE-BEAD-2500R-50MA(0603)";"L0603";"303030020";"";"";"";"";"";"";"";"";"";"2500R-50MA";
"R1";"1k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"R";"";
"R2";"10k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"R";"";
"R3";"10k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"R";"";
"R4";"100k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"R";"";
"R5";"100k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"R";"";
"R6";"10k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"R";"";
"R7";"6k8";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"R";"";
"R8";"1k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"R";"";
"R9";"1k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"R";"";
"R12";".15 Ohm 1%";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"R13";".15 Ohm 1%";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"SJ1";"vref";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"";
"SW2";"Reset";"TACT_4.2MM";"TACT4.2MM";"Library:  MF_Switches";"";"";"";"";"";"";"";"";"";"";
"U$1";"AS5047D";"AS5047D";"TSSOP14";"AMS: AS5047D-ATSM";"";"";"";"";"";"";"";"";"";"";
"U$3";"Allegro MicroSystems A4954";"AVAGO_DRIVERTHERM";"TSSOP16_THERM";"Allegro MicroSystems, LLC: A4954ELPTR-T";"";"";"";"";"";"";"";"";"";"";
"U1";"TLV70233PDBVR";"TLV70233PDBVR";"SOT-23-5";"Manufacturer Part #: TLV702";"";"";"";"";"";"";"";"";"";"";
"U2";"ATSAMD51J19";"ATSAMD51J19";"TQFP64";"Atmel SAMD21G SMART ARM-Based Microcontroller";"";"";"";"";"";"";"";"";"";"";
"U3";"TXB0104";"TXB0104PWR";"TSSOP14";"4-Bit Bi-Directional Level Shifter";"";"";"";"";"";"";"";"NA-XXXXX";"";"TXB0104";
"Y1";"3.2768KHZ";"SMD-CRYSTAL-32.768KHZ-12.5PF-20PPM-90K(2P-L2.0X1.2MM)";"X2-SMD-L2.0X1.2X0.55MM";"306010020";"";"";"";"";"";"";"FC-12M";"";"";"3.2768KHZ";
